System	 #Comps	 Training size	 Probing	 #Experiment	 Identified faults	 Missed faults 	 Exonorated	 False Positives
74181.	65	4096	1	0	1	0	26	38
74181.	65	4096	1	1	1	0	16	11
74181.	65	4096	1	2	1	0	35	29
74181.	65	4096	1	3	0	1	15	0
74181.	65	4096	1	4	1	0	18	38
74181.	65	4096	1	5	1	0	20	30
74181.	65	4096	1	6	1	0	22	11
74181.	65	4096	1	7	1	0	20	30
74181.	65	4096	1	8	0	1	10	0
74181.	65	4096	1	9	1	0	20	21
74181.	65	4096	1	10	1	0	15	19
74181.	65	4096	1	11	1	0	17	11
74181.	65	4096	1	12	1	0	16	21
74181.	65	4096	1	13	1	0	43	21
74181.	65	4096	1	14	1	0	16	20
74181.	65	4096	1	15	0	1	23	0
74181.	65	4096	1	16	1	0	34	10
74181.	65	4096	1	17	1	0	15	20
74181.	65	4096	1	18	1	0	25	39
74181.	65	4096	1	19	0	1	20	0
74181.	65	4096	1	20	1	0	21	20
74181.	65	4096	1	21	0	1	15	0
74181.	65	4096	1	22	1	0	34	30
74181.	65	4096	1	23	1	0	34	30
74181.	65	4096	1	24	1	0	3	57
74181.	65	4096	1	25	0	1	17	0
74181.	65	4096	1	26	1	0	19	30
74181.	65	4096	1	27	1	0	16	17
74181.	65	4096	1	28	1	0	20	29
74181.	65	4096	1	29	1	0	13	11
74181.	65	4096	1	30	0	1	17	0
74181.	65	4096	1	31	1	0	49	15
74181.	65	4096	1	32	1	0	17	32
74181.	65	4096	1	33	1	0	12	9
74181.	65	4096	1	34	0	1	15	0
74181.	65	4096	1	35	1	0	14	11
74181.	65	4096	1	36	1	0	21	20
74181.	65	4096	1	37	1	0	17	40
74181.	65	4096	1	38	1	0	11	11
74181.	65	4096	1	39	1	0	24	20
74181.	65	4096	1	40	0	1	10	0
74181.	65	4096	1	41	1	0	3	23
74181.	65	4096	1	42	0	1	11	0
74181.	65	4096	1	43	1	0	21	20
74181.	65	4096	1	44	0	1	19	0
74181.	65	4096	1	45	0	1	15	0
74181.	65	4096	1	46	1	0	15	24
74181.	65	4096	1	47	1	0	30	34
74181.	65	4096	1	48	1	0	29	35
74181.	65	4096	1	49	1	0	14	11
74181.	65	4096	1	50	1	0	20	29
74181.	65	4096	1	51	0	1	19	0
74181.	65	4096	1	52	0	1	21	0
74181.	65	4096	1	53	1	0	37	27
74181.	65	4096	1	54	1	0	17	33
74181.	65	4096	1	55	1	0	29	35
74181.	65	4096	1	56	1	0	19	30
74181.	65	4096	1	57	0	1	23	0
74181.	65	4096	1	58	0	1	23	0
74181.	65	4096	1	59	0	1	16	0
74181.	65	4096	1	60	1	0	21	20
74181.	65	4096	1	61	1	0	20	21
74181.	65	4096	1	62	1	0	23	10
74181.	65	4096	1	63	1	0	25	39
74181.	65	4096	1	64	1	0	7	57
74181.	65	4096	1	65	1	0	11	17
74181.	65	4096	1	66	1	0	16	33
74181.	65	4096	1	67	0	1	20	0
74181.	65	4096	1	68	1	0	14	1
74181.	65	4096	1	69	1	0	20	30
74181.	65	4096	1	70	1	0	15	21
74181.	65	4096	1	71	1	0	14	1
74181.	65	4096	1	72	1	0	17	35
74181.	65	4096	1	73	1	0	14	30
74181.	65	4096	1	74	1	0	20	29
74181.	65	4096	1	75	1	0	18	29
74181.	65	4096	1	76	1	0	53	11
74181.	65	4096	1	77	0	1	16	0
74181.	65	4096	1	78	1	0	15	21
74181.	65	4096	1	79	1	0	22	11
74181.	65	4096	1	80	1	0	44	20
74181.	65	4096	1	81	1	0	20	0
74181.	65	4096	1	82	1	0	20	44
74181.	65	4096	1	83	1	0	14	35
74181.	65	4096	1	84	1	0	17	11
74181.	65	4096	1	85	1	0	20	25
74181.	65	4096	1	86	1	0	14	21
74181.	65	4096	1	87	1	0	16	16
74181.	65	4096	1	88	1	0	7	24
74181.	65	4096	1	89	0	1	17	0
74181.	65	4096	1	90	1	0	45	19
74181.	65	4096	1	91	1	0	45	19
74181.	65	4096	1	92	1	0	44	20
74181.	65	4096	1	93	1	0	17	10
74181.	65	4096	1	94	1	0	53	11
74181.	65	4096	1	95	1	0	30	34
74181.	65	4096	1	96	1	0	7	24
74181.	65	4096	1	97	0	1	14	0
74181.	65	4096	1	98	1	0	11	21
74181.	65	4096	1	99	1	0	20	21
74181.	65	8192	1	0	1	0	14	21
74181.	65	8192	1	1	1	0	35	29
74181.	65	8192	1	2	1	0	27	37
74181.	65	8192	1	3	1	0	21	32
74181.	65	8192	1	4	1	0	18	28
74181.	65	8192	1	5	1	0	20	21
74181.	65	8192	1	6	1	0	17	21
74181.	65	8192	1	7	1	0	21	21
74181.	65	8192	1	8	1	0	23	11
74181.	65	8192	1	9	0	1	21	0
74181.	65	8192	1	10	1	0	28	36
74181.	65	8192	1	11	1	0	21	32
74181.	65	8192	1	12	1	0	32	32
74181.	65	8192	1	13	1	0	15	30
74181.	65	8192	1	14	1	0	15	35
74181.	65	8192	1	15	1	0	16	44
74181.	65	8192	1	16	1	0	34	30
74181.	65	8192	1	17	1	0	22	24
74181.	65	8192	1	18	1	0	45	19
74181.	65	8192	1	19	0	1	25	0
74181.	65	8192	1	20	1	0	21	20
74181.	65	8192	1	21	1	0	21	20
74181.	65	8192	1	22	1	0	21	32
74181.	65	8192	1	23	1	0	20	29
74181.	65	8192	1	24	1	0	26	38
74181.	65	8192	1	25	1	0	20	29
74181.	65	8192	1	26	1	0	24	21
74181.	65	8192	1	27	1	0	21	20
74181.	65	8192	1	28	1	0	21	21
74181.	65	8192	1	29	1	0	18	31
74181.	65	8192	1	30	1	0	54	10
74181.	65	8192	1	31	1	0	24	33
74181.	65	8192	1	32	0	1	26	0
74181.	65	8192	1	33	1	0	34	30
74181.	65	8192	1	34	1	0	34	30
74181.	65	8192	1	35	1	0	21	20
74181.	65	8192	1	36	1	0	39	25
74181.	65	8192	1	37	0	1	25	0
74181.	65	8192	1	38	1	0	17	19
74181.	65	8192	1	39	0	1	15	0
74181.	65	8192	1	40	1	0	35	29
74181.	65	8192	1	41	1	0	35	29
74181.	65	8192	1	42	1	0	15	35
74181.	65	8192	1	43	0	1	29	0
74181.	65	8192	1	44	1	0	23	26
74181.	65	8192	1	45	1	0	6	33
74181.	65	8192	1	46	1	0	14	30
74181.	65	8192	1	47	1	0	34	30
74181.	65	8192	1	48	1	0	25	39
74181.	65	8192	1	49	1	0	64	0
74181.	65	8192	1	50	1	0	38	26
74181.	65	8192	1	51	0	1	23	0
74181.	65	8192	1	52	1	0	64	0
74181.	65	8192	1	53	1	0	44	20
74181.	65	8192	1	54	1	0	56	8
74181.	65	8192	1	55	1	0	22	42
74181.	65	8192	1	56	1	0	24	15
74181.	65	8192	1	57	1	0	21	19
74181.	65	8192	1	58	1	0	41	23
74181.	65	8192	1	59	1	0	26	11
74181.	65	8192	1	60	1	0	16	33
74181.	65	8192	1	61	0	1	20	0
74181.	65	8192	1	62	1	0	64	0
74181.	65	8192	1	63	1	0	54	10
74181.	65	8192	1	64	1	0	18	46
74181.	65	8192	1	65	1	0	26	38
74181.	65	8192	1	66	1	0	17	11
74181.	65	8192	1	67	1	0	17	32
74181.	65	8192	1	68	1	0	53	11
74181.	65	8192	1	69	1	0	18	46
74181.	65	8192	1	70	1	0	20	44
74181.	65	8192	1	71	1	0	19	34
74181.	65	8192	1	72	1	0	44	20
74181.	65	8192	1	73	1	0	34	30
74181.	65	8192	1	74	1	0	53	11
74181.	65	8192	1	75	1	0	34	30
74181.	65	8192	1	76	1	0	19	30
74181.	65	8192	1	77	1	0	21	21
74181.	65	8192	1	78	1	0	20	44
74181.	65	8192	1	79	1	0	16	11
74181.	65	8192	1	80	1	0	43	21
74181.	65	8192	1	81	0	1	21	0
74181.	65	8192	1	82	1	0	46	18
74181.	65	8192	1	83	0	1	26	0
74181.	65	8192	1	84	1	0	39	25
74181.	65	8192	1	85	1	0	47	17
74181.	65	8192	1	86	1	0	21	20
74181.	65	8192	1	87	1	0	11	25
74181.	65	8192	1	88	1	0	14	3
74181.	65	8192	1	89	1	0	15	29
74181.	65	8192	1	90	1	0	17	32
74181.	65	8192	1	91	1	0	44	20
74181.	65	8192	1	92	1	0	19	11
74181.	65	8192	1	93	1	0	34	30
74181.	65	8192	1	94	1	0	26	38
74181.	65	8192	1	95	1	0	34	30
74181.	65	8192	1	96	1	0	17	30
74181.	65	8192	1	97	1	0	35	29
74181.	65	8192	1	98	1	0	22	27
74181.	65	8192	1	99	1	0	25	39
74181.	65	16384	1	0	1	0	43	21
74181.	65	16384	1	1	1	0	34	30
74181.	65	16384	1	2	1	0	20	44
74181.	65	16384	1	3	1	0	45	19
74181.	65	16384	1	4	1	0	17	43
74181.	65	16384	1	5	1	0	34	30
74181.	65	16384	1	6	1	0	38	26
74181.	65	16384	1	7	1	0	34	30
74181.	65	16384	1	8	1	0	53	11
74181.	65	16384	1	9	1	0	43	21
74181.	65	16384	1	10	1	0	40	24
74181.	65	16384	1	11	1	0	21	43
74181.	65	16384	1	12	1	0	40	24
74181.	65	16384	1	13	1	0	35	29
74181.	65	16384	1	14	1	0	29	35
74181.	65	16384	1	15	1	0	34	30
74181.	65	16384	1	16	1	0	9	4
74181.	65	16384	1	17	1	0	53	11
74181.	65	16384	1	18	1	0	21	43
74181.	65	16384	1	19	1	0	26	38
74181.	65	16384	1	20	1	0	37	27
74181.	65	16384	1	21	1	0	21	43
74181.	65	16384	1	22	1	0	43	21
74181.	65	16384	1	23	1	0	53	11
74181.	65	16384	1	24	1	0	26	38
74181.	65	16384	1	25	1	0	47	17
74181.	65	16384	1	26	1	0	43	21
74181.	65	16384	1	27	1	0	34	30
74181.	65	16384	1	28	1	0	34	30
74181.	65	16384	1	29	1	0	64	0
74181.	65	16384	1	30	1	0	64	0
74181.	65	16384	1	31	1	0	25	39
74181.	65	16384	1	32	1	0	43	21
74181.	65	16384	1	33	1	0	34	30
74181.	65	16384	1	34	1	0	29	35
74181.	65	16384	1	35	1	0	25	39
74181.	65	16384	1	36	1	0	43	21
74181.	65	16384	1	37	1	0	43	21
74181.	65	16384	1	38	1	0	26	38
74181.	65	16384	1	39	1	0	26	38
74181.	65	16384	1	40	1	0	45	19
74181.	65	16384	1	41	1	0	34	30
74181.	65	16384	1	42	1	0	35	29
74181.	65	16384	1	43	1	0	53	11
74181.	65	16384	1	44	1	0	25	39
74181.	65	16384	1	45	1	0	34	30
74181.	65	16384	1	46	1	0	29	35
74181.	65	16384	1	47	1	0	25	39
74181.	65	16384	1	48	1	0	28	36
74181.	65	16384	1	49	1	0	22	42
74181.	65	16384	1	50	1	0	20	44
74181.	65	16384	1	51	1	0	26	38
74181.	65	16384	1	52	1	0	53	11
74181.	65	16384	1	53	1	0	38	26
74181.	65	16384	1	54	1	0	53	11
74181.	65	16384	1	55	1	0	35	29
74181.	65	16384	1	56	1	0	25	39
74181.	65	16384	1	57	1	0	26	38
74181.	65	16384	1	58	1	0	25	32
74181.	65	16384	1	59	1	0	34	30
74181.	65	16384	1	60	1	0	43	21
74181.	65	16384	1	61	1	0	10	54
74181.	65	16384	1	62	1	0	48	16
74181.	65	16384	1	63	1	0	43	21
74181.	65	16384	1	64	1	0	29	35
74181.	65	16384	1	65	1	0	34	30
74181.	65	16384	1	66	1	0	47	17
74181.	65	16384	1	67	1	0	29	35
74181.	65	16384	1	68	1	0	37	27
74181.	65	16384	1